Среда
ВремяВремя;Неделя;Дисциплина;Вид;Учебная группа;Преподаватель;Примечание
"10:00-11:30";"2,4,6,8,10,12,14,16";Программирование;Лабораторные занятия;P3111;Письмак Алексей Евгеньевич;
;"1,3,7,11,13,15,17";Программирование;Лабораторные занятия;P3107;Гаврилов Антон Валерьевич;
"11:40-13:10";"2,4,6,8,10,12,14,16";Программирование;Лабораторные занятия;P3111;Письмак Алексей Евгеньевич;
;"1,3,7,11,13,15,17";Программирование;Лабораторные занятия;P3107;Гаврилов Антон Валерьевич;
"13:30-15:00";"2,4,6,8,10,12,14,16";Базы данных;Лабораторные занятия;P3130;Шешуков Дмитрий Михайлович;
;"1,3,7,11,13,15,17";Базы данных;Лабораторные занятия;P3133;Шешуков Дмитрий Михайлович;
"15:20-16:50";"2,4,6,8,10,12,14,16";Базы данных;Лабораторные занятия;P3130;Шешуков Дмитрий Михайлович;
;"1,3,7,11,13,15,17";Базы данных;Лабораторные занятия;P3133;Шешуков Дмитрий Михайлович;
Четверг
ВремяВремя;Неделя;Дисциплина;Вид;Учебная группа;Преподаватель;Примечание
"08:20-09:50";"2,4,6,8,10,12,14,16";Базы данных;Лабораторные занятия;P3131;Шешуков Дмитрий Михайлович;
"10:00-11:30";"2,4,6,8,10,12,14,16";Базы данных;Лабораторные занятия;P3131;Шешуков Дмитрий Михайлович;
"11:40-13:10";"2,4,6,8,10,12,14,16";Базы данных;Лабораторные занятия;P3132;Шешуков Дмитрий Михайлович;
"13:30-15:00";"2,4,6,8,10,12,14,16";Базы данных;Лабораторные занятия;P3132;Шешуков Дмитрий Михайлович;
"15:20-16:50";"2,4,6,8,10,12,14,16";Базы данных;Лабораторные занятия;P3117;Шешуков Дмитрий Михайлович;
"17:00-18:30";"2,4,6,8,10,12,14,16";Базы данных;Лабораторные занятия;P3117;Шешуков Дмитрий Михайлович;
"18:40-20:10";"2,4,6,8,10,12,14,16";Параллельные вычисления;Лабораторные занятия;ПАРВ 1.2;Жданов Андрей Дмитриевич;
;"1,5,7,11,13,15,17";Параллельные вычисления;Лабораторные занятия;ПАРВ 1.1;Жданов Андрей Дмитриевич;
"20:20-21:50";"2,4,6,8,10,12,14,16";Параллельные вычисления;Лабораторные занятия;ПАРВ 1.2;Жданов Андрей Дмитриевич;
;"1,5,7,11,13,15,17";Параллельные вычисления;Лабораторные занятия;ПАРВ 1.1;Жданов Андрей Дмитриевич;
Пятница
ВремяВремя;Неделя;Дисциплина;Вид;Учебная группа;Преподаватель;Примечание
"15:20-16:50";"2,4,6,8,10,12,14,16";Базы данных;Лабораторные занятия;P3134;Шешуков Дмитрий Михайлович;
;"1,5,7,9,11,13,15,17";Основы профессиональной деятельности;Лабораторные занятия;P3110;Бострикова Дарья Константиновна;
"17:00-18:30";"2,4,6,8,10,12,14,16";Базы данных;Лабораторные занятия;P3134;Шешуков Дмитрий Михайлович;
;"1,5,7,9,11,13,15,17";Основы профессиональной деятельности;Лабораторные занятия;P3110;Бострикова Дарья Константиновна;
Суббота
ВремяВремя;Неделя;Дисциплина;Вид;Учебная группа;Преподаватель;Примечание
"11:40-13:10";"2,4,6,8,10,12,14,16";Базы данных;Лабораторные занятия;P3114;Горбунов Михаил Витальевич;
;"1,3,5,7,9,11,13,15,17";Базы данных;Лабораторные занятия;P3113;Горбунов Михаил Витальевич;
"13:30-15:00";"2,4,6,8,10,12,14,16";Базы данных;Лабораторные занятия;P3114;Горбунов Михаил Витальевич;
;"1,3,5,7,9,11,13,15,17";Базы данных;Лабораторные занятия;P3113;Горбунов Михаил Витальевич;
"15:20-16:50";"2,4,6,8,10,12,14,16";Базы данных;Лабораторные занятия;P3116;Горбунов Михаил Витальевич;
;"1,3,5,7,9,11,13,15,17";Базы данных;Лабораторные занятия;P3115;Горбунов Михаил Витальевич;
"17:00-18:30";"2,4,6,8,10,12,14,16";Базы данных;Лабораторные занятия;P3116;Горбунов Михаил Витальевич;
;"1,3,5,7,9,11,13,15,17";Базы данных;Лабораторные занятия;P3115;Горбунов Михаил Витальевич;
